Time,Temperature (°F)_Max,Temperature (°F)_Avg,Temperature (°F)_Min,Dew Point (°F)_Max,Dew Point (°F)_Avg,Dew Point (°F)_Min,Humidity (%)_Max,Humidity (%)_Avg,Humidity (%)_Min,Wind Speed (mph)_Max,Wind Speed (mph)_Avg,Wind Speed (mph)_Min,Pressure (in)_Max,Pressure (in)_Avg,Pressure (in)_Min,Precipitation (in)
11/1/2022,66,60.8,55,62,59.5,55,100,95.7,75,7,2.4,0,29.6,29.6,29.5,0.05
11/2/2022,76,63.6,54,68,60.4,54,100,90.3,64,8,3.6,0,29.7,29.6,29.5,0.01
11/3/2022,84,74.6,69,70,68.7,65,100,83.2,53,20,12.2,7,29.5,29.4,29.3,0
11/4/2022,85,73.5,59,75,69,52,97,86.5,63,22,12.8,3,29.4,29.3,29.1,0
11/5/2022,71,59.4,50,55,49.5,42,100,73,42,12,5.2,0,29.4,29.3,29.3,0.41
11/6/2022,83,66.5,48,73,62.2,47,100,86.9,63,20,5.2,0,29.4,29.4,29.3,0
11/7/2022,84,74.9,68,75,71.3,67,100,89.4,58,12,4.9,0,29.6,29.5,29.5,0
11/8/2022,78,69.1,60,71,66.6,60,100,92.3,76,10,3.2,0,29.7,29.6,29.6,0.11
11/9/2022,81,71.2,64,69,67,64,100,87.6,58,16,6.2,0,29.6,29.5,29.4,0.02
11/10/2022,81,71.5,64,69,66.4,63,100,85.5,54,15,7.1,3,29.4,29.3,29.2,0
11/11/2022,79,60.2,43,69,55.6,31,100,85.1,60,24,12.9,0,29.6,29.3,29.2,0
11/12/2022,58,45.2,34,32,29.5,27,82,56.7,32,21,12.9,3,29.7,29.7,29.6,0.12
11/13/2022,58,45.1,29,35,27.5,20,96,56.3,23,9,5.4,0,29.7,29.6,29.5,0
11/14/2022,52,50,48,50,45.1,36,100,84.2,59,15,8.6,3,29.6,29.4,29.3,0
11/15/2022,50,43.7,40,43,36,33,89,74.7,59,17,11.2,5,29.8,29.7,29.6,0.19
11/16/2022,55,45.9,40,37,33.9,30,86,65.2,40,17,9.8,3,29.9,29.9,29.8,0
11/17/2022,58,49.4,40,41,35.5,28,97,62.6,34,6,2.5,0,29.9,29.8,29.7,0
11/18/2022,55,50.6,48,45,40.1,35,86,68.6,49,8,3,0,29.8,29.7,29.7,0
11/19/2022,47,40.4,37,41,36.6,32,97,86.7,70,20,13.2,6,29.9,29.8,29.7,0.03
11/20/2022,47,42.4,39,39,32.6,28,93,69.6,48,10,7,3,29.9,29.8,29.8,0.39
11/21/2022,45,43.6,41,44,41,36,100,90.6,82,9,5.2,0,29.8,29.8,29.8,0.03
11/22/2022,54,49.6,44,51,47,44,100,90.9,83,7,4.2,0,29.8,29.7,29.6,0.24
11/23/2022,65,58.8,53,61,52.7,47,96,81.3,60,7,2.9,0,29.6,29.5,29.4,0.02
11/24/2022,67,62.5,61,65,61.7,60,100,97.4,84,16,7.8,0,29.5,29.3,29.3,0.15
11/25/2022,61,57.5,55,60,56.3,54,100,95.8,90,21,11.9,6,29.6,29.5,29.4,0.18
11/26/2022,60,51.7,41,57,45.8,39,100,83,46,18,9,0,29.4,29.3,29.3,2
11/27/2022,71,54.8,43,47,43.5,40,100,70.4,34,13,4.6,0,29.4,29.3,29.3,0
11/28/2022,75,58.9,37,65,51.9,37,100,80.9,41,15,6.9,0,29.4,29.3,29.2,0
11/29/2022,82,69.8,52,69,64.5,52,100,85,51,21,10.2,0,29.4,29.2,29.1,0
11/30/2022,58,47.5,38,46,29.9,26,68,52.2,32,24,16.9,6,29.8,29.7,29.4,0
